OID_,AC_type,Year,Passage_lift,Service_lift,Operate_start_work,bld_opr_hrs,Operate_start_weekend,Operate_hours_weekend,retail,parking,office,hotel,food,GHI,wind_speed_10m,CDH,landuse,NDVI,NDBI,BH,podium,area_podium,highrise,area_upper,Dist_mtr,bld_eui2,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
1930,Individual Air-Conditioning System,1964,,,,,,,1416.994263,40.1016693,747.2296753,52.7981758,328.0525818,1421.187988,3.1632802,2.793602151,1,0.0382663,0.1053416,58.384613,1,2739,1,363,181.5960818,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1931,Individual Air-Conditioning System,1998,,,,,,,548.8984375,95.0183945,53.625042,152.5596313,239.563736,1421.552979,2.9570251,2.793602151,11,0.0424319,0.0511657,98.85569,1,1369,1,739,433.2107983,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1932,Individual Air-Conditioning System,1982,,,,,,,352.7286072,105.8509827,1.0226681,303.6230774,1061.405273,1421.187988,3.0064847,2.757786739,11,0.0370697,-0.0218872,48.5893326,1,405,1,193,257.2625052,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1933,Individual Air-Conditioning System,2020,2,,,,,,682.7647095,63.8390884,62.0954361,93.4309845,1011.276245,1421.552979,2.4128978,2.793602151,11,0.0428787,0.0559781,92.4075775,1,337,1,439,378.1688572,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1934,Central Air-Conditioning System,1982,6,1,,,,,2165.958984,1.6420718,408.10672,184.898819,1079.436035,1417.535034,2.7116663,2.757786739,11,0.0866652,0.0126925,51.7745628,1,2368,1,2218,545.7192752,,NO,YES,NO,NO,NO,2015,7/6/2019,retro_after,13,0,100,yes,,,
1935,Central Air-Conditioning System,1994,14,2,8,11,8,6,0,0,0,0,86.2274551,1418.630981,2.4138098,2.757786739,11,0.0514731,0.0751935,102.1728821,1,7988,1,2481,379.734928,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1936,Central Air-Conditioning System,1991,6,2,8,10,8,6,1155.064209,122.1947556,1072.066895,0,2177.276123,1418.630981,2.7116663,2.757786739,11,0.0452728,0.0871339,51.5644455,1,4011,1,1654,484.9393295,,NO,YES,NO,NO,NO,2012,5/9/2016,retro_after,14,0,114,yes,,,
1937,Central Air-Conditioning System,1988,9,2,8.5,9.5,8.5,4.5,2908.859863,76.9512024,3295.549316,0,125.6700211,1417.535034,2.35235,2.757786739,11,0.0954665,0.1142729,51.7311897,1,4667,1,3779,431.266419,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1938,Central Air-Conditioning System,1983,4,1,9,9,,,336.0314331,0.5208704,91.8276596,0,546.4110107,1418.265991,2.7116663,2.757786739,11,0.0838702,0.0471594,51.4687996,1,1341,1,1245,522.8516166,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1939,Central Air-Conditioning System,1982,4,1,9,9,9,4,1375.573242,35.9292374,95.0884399,25.7128601,867.3198242,1417.535034,2.7116663,2.757786739,11,0.1658554,-0.0418073,7.6240258,1,3218,1,1315,510.2577924,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1940,Central Air-Conditioning System,1982,5,2,8,10,8,10,1155.064209,122.1947556,1072.066895,0,2177.276123,1418.630981,2.7116663,2.757786739,11,0.0452728,0.0871339,51.5644455,1,4011,1,1654,484.9393295,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1941,Central Air-Conditioning System,1982,6,1,8.5,9.5,8.5,4.5,892.5656128,139.5094147,1689.019531,0,2409.280762,1418.630981,2.4138098,2.757786739,11,0.0215179,-0.0310194,49.4582253,1,2128,1,1712,454.7088123,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1942,Central Air-Conditioning System,1982,5,1,8,10,8,10,1155.064209,122.1947556,1072.066895,0,2177.276123,1418.630981,2.7116663,2.757786739,11,0.0452728,0.0871339,51.5644455,1,4011,1,1654,484.9393295,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
